id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6DEaND0SHv3sC11xobZLiy,0.719,0.212,158.031,0.0419,0.101,0.0,4,0.558,11,243707,-5.603,0.483,1
6YWvgL06rVQ1TLzbT5EQLB,0.737,0.325,92.983,0.0434,0.223,0.0,4,0.67,9,182400,-6.794,0.754,1
6WTFRjOG3nS94P8wfm4ANH,0.889,0.105,158.023,0.106,0.218,0.0,4,0.514,8,176293,-3.396,0.843,0
5gnV9rhNQlb6nqFiwQgKVf,0.849,0.0971,105.012,0.0316,0.0279,0.000169,4,0.72,6,205720,-2.246,0.956,1
1yaFBgYRHxXxJN0AKy3WS1,0.724,0.0684,101.997,0.023,0.0196,0.0433,4,0.684,4,230360,-6.255,0.849,1
1hb6wUcWcjJswYPaTXJgxw,0.738,0.119,153.712,0.0309,0.042,0.0,4,0.432,2,191907,-3.91,0.503,1
1zbcFS5hS92oXNL3UZDfY0,0.747,0.0983,158.064,0.0358,0.0581,0.0,4,0.41,5,218040,-4.964,0.369,1
1Oe4iHSl5mLQ0YHnzQ4eRA,0.882,0.148,89.975,0.0386,0.286,0.0,4,0.693,7,136280,-5.321,0.806,1
4sl4UWqzHSG7riBKdralwy,0.813,0.272,95.081,0.0582,0.0297,0.000197,4,0.584,6,204387,-7.221,0.774,1
2Hx66vdWgA4DE0yqqktQiT,0.53,0.154,109.003,0.0301,0.0886,0.0,4,0.663,1,207347,-9.763,0.269,1
0El2Zyt68nYySFDG87hZgM,0.952,0.438,170.062,0.041,0.0981,2.91e-06,4,0.476,4,184707,-3.783,0.849,1
6VZCuvHwk3xmjwgKga0bNi,0.569,0.127,149.987,0.0271,0.26,0.0,4,0.625,0,201013,-5.954,0.361,1
10RQKVSr4rS0coExTmi4dF,0.893,0.0813,139.763,0.0627,0.0243,0.0,4,0.451,7,238173,-2.721,0.0971,1
5mv0E9VfdpuwNX4fMznxjs,0.91,0.0467,87.983,0.0569,0.125,0.0,4,0.649,1,205147,-5.185,0.88,1
11qh54D0PKkBwelpDxxiEU,0.225,0.112,173.788,0.0302,0.842,0.0,3,0.5,0,193320,-10.22,0.355,1
1uKbUXl4F8WfecP9ihr5Lm,0.804,0.334,90.97,0.0343,0.0372,0.0,4,0.586,1,190920,-5.277,0.693,1
72wSY7TWu27sVm2rwRLen5,0.781,0.118,147.913,0.0382,0.0824,0.0,4,0.428,0,196213,-3.42,0.458,1
1B17jo7XD3lJ9AtrdE9kUd,0.333,0.114,74.53,0.0285,0.335,1.09e-06,1,0.36,7,262053,-8.491,0.17,1
0n96wSHG9FXAuLVoaG9Jjd,0.664,0.0767,138.048,0.028,0.0139,2.94e-06,4,0.547,1,221467,-5.622,0.551,1
3BGXzcX7YtQySO5wF1h5b2,0.761,0.086,106.965,0.0276,0.586,1.04e-06,4,0.718,1,189253,-6.835,0.745,1
7oEk2RVJdDxMK9OYIVpJtB,0.937,0.327,101.011,0.034,0.0198,7.38e-06,4,0.631,11,198267,-3.858,0.654,0
14UE0L5fL5TL0ohEiAv56X,0.753,0.269,123.979,0.0346,0.365,4.19e-05,4,0.53,0,234840,-5.551,0.38,1
2IcMGD8bOTbownOOav5qjE,0.902,0.191,168.001,0.0499,0.128,3.46e-06,4,0.468,7,235387,-4.581,0.701,1
7Fit6fsC1IXiovS8lXQSHB,0.805,0.0911,102.034,0.0398,0.0378,0.0,4,0.621,7,212547,-6.543,0.766,1
3MFV4DgrAOXz6KURPQxRj9,0.861,0.0797,118.008,0.0395,0.00546,1.38e-05,4,0.588,10,195973,-5.531,0.525,1
3AYUY4avB7L8dZtNNmzZi8,0.678,0.114,109.033,0.0277,0.0651,7.3e-05,4,0.627,11,261613,-5.892,0.404,1
61tRRrJoargpHwT0uAEpuY,0.583,0.0367,85.014,0.0901,0.0526,4.08e-06,4,0.78,7,186547,-7.36,0.881,1
5y1ojCNp0g9IU7tmsrXPQk,0.905,0.143,156.06,0.0289,0.114,3.01e-06,4,0.51,3,216253,-2.913,0.796,1
7196z4iac1h7cup3h9IwfR,0.831,0.196,111.003,0.032,0.0126,0.0,4,0.576,0,165880,-6.046,0.529,1
3j0oJtPonSYt9f5jHVLb91,0.525,0.141,156.996,0.0414,0.57,0.0,4,0.653,4,175615,-7.446,0.633,1
0IsjGDAqohBEdZWVoTaMjI,0.859,0.11,142.071,0.0402,0.0579,0.0,4,0.583,2,192987,-4.495,0.607,1
4ahkoxZq93fgcyNmdskMIY,0.702,0.246,167.966,0.0459,0.0469,0.0,4,0.477,0,199947,-5.82,0.495,1
5ZlPmjDhZi1qQWVHiaU7MU,0.629,0.0938,107.978,0.0251,0.0146,0.0,4,0.795,11,269347,-6.284,0.445,0
2gCKzFcx0JB5WdK0MPbg8I,0.835,0.325,123.987,0.034,0.00179,1.81e-06,4,0.636,6,224427,-4.762,0.516,1
799mKKcXcpcJcbBZzrnyAp,0.649,0.268,148.982,0.0323,0.0158,0.0,3,0.283,2,200627,-4.657,0.37,1
63QCk4cHK1jEdCJsGqOx0D,0.737,0.314,158.05,0.0476,0.0142,0.0,4,0.557,3,204187,-5.75,0.817,1
1OtiKlQ3EALplQWw2LF7Xn,0.789,0.0956,145.096,0.0297,0.00908,0.000396,4,0.563,11,205840,-3.949,0.748,1
4q0SB41tm7eFqnAODPM8C6,0.815,0.0705,157.954,0.067,0.0122,0.0,4,0.558,2,244453,-5.352,0.638,1
0Rm6GWdapFsg4Z6r2Ae3s8,0.931,0.0688,96.954,0.0681,0.128,0.0,4,0.6,8,196733,-3.492,0.716,1
52aeWO2BChpGCFG4BDSQq2,0.377,0.121,143.987,0.0275,0.114,0.0,4,0.612,2,239724,-9.266,0.292,1
3yCeppDD1IM0GcBvN8K3KL,0.904,0.377,160.017,0.1,0.279,0.0,4,0.593,8,218907,-3.82,0.852,1
53Dj5PCDhb22qWqmre3YQs,0.859,0.0777,109.971,0.0358,0.0639,0.0,4,0.652,2,188707,-3.746,0.491,1
3gz4UBairZaiIRTti4AqSm,0.657,0.106,164.054,0.0325,0.0186,0.0,4,0.535,3,206267,-7.637,0.746,1
6mUR3hNAhMFPnOLeSYz1SL,0.889,0.162,166.073,0.0457,0.154,1.12e-06,4,0.547,7,190653,-3.094,0.548,1
0yGeVoWrSc7Ocnv8sSouNC,0.79,0.0734,123.961,0.0412,0.0444,4.22e-05,4,0.584,2,214950,-6.544,0.691,1
6jwEaYcBMil5kYR35BCMZT,0.851,0.0655,166.054,0.0381,0.207,0.0,4,0.543,11,183280,-4.197,0.779,1
20WJpmXfRbqeuY2TH5xYna,0.894,0.0875,75.028,0.0383,0.000492,0.0,4,0.485,6,178190,-4.176,0.673,1
3CHX2PyOIx4vXXVZEsC4kG,0.716,0.311,93.943,0.0318,0.198,0.0,4,0.605,5,196467,-4.071,0.512,1
1WmoBNBqH88brQhIkAkr8b,0.77,0.0947,83.945,0.0478,0.154,0.0,4,0.486,9,234307,-4.545,0.406,1
6xUsKn0ANrp87Kwuw0F43H,0.857,0.0706,93.032,0.0431,0.263,0.0,4,0.719,5,170924,-4.156,0.914,1
6CsZeVdSAfEmbCNRxHL6ur,0.892,0.56,205.913,0.0467,0.417,0.0,4,0.573,5,150267,-3.771,0.97,1
3GG5OK3fcob2Bwyqu07QtP,0.395,0.114,72.871,0.0447,0.932,0.0,4,0.52,7,229760,-5.392,0.314,1
6vZLPNtssv56YmFYPhZKp7,0.946,0.171,128.016,0.0569,0.486,0.0,4,0.68,11,246666,-3.288,0.819,1
1hc31O4qhv2tnSnW1290KC,0.614,0.0684,159.891,0.0253,0.0376,0.0,4,0.573,7,203373,-4.209,0.701,1
44tlexN3Rxgake8xlZePPI,0.906,0.133,123.101,0.0418,0.051,0.0,4,0.532,0,211199,-2.99,0.57,1
14qTyycMDRLUSEVeurHGvI,0.94,0.0706,126.988,0.0325,0.0182,0.00132,4,0.62,1,181197,-2.675,0.79,1
3G3GlamGhK0TKNODAaOwkE,0.58,0.122,114.065,0.0278,0.501,0.0,3,0.563,10,242333,-4.531,0.261,1
1BQ8SOhASbho6Tu68Gwa39,0.797,0.167,147.938,0.0448,0.026,0.0,4,0.444,5,229640,-4.812,0.392,1
4QqpHeOph5V0eXSLyEZI06,0.809,0.13,180.06,0.124,0.117,0.0,4,0.6,0,190333,-6.811,0.689,1
5WXpUFc1oqWSj5LnmSjJjC,0.882,0.238,159.912,0.0969,0.111,0.0,4,0.561,4,184280,-4.587,0.88,1
