id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
5jrdCoLpJSvHHorevXBATy,0.585,0.165,131.931,0.0513,0.00314,0.0,4,0.645,6,215672,-6.122,0.353,1
3s4U7OHV7gnj42VV72eSZ6,0.586,0.193,120.97,0.0377,0.162,2.03e-06,4,0.799,11,227833,-6.735,0.549,1
3cHyrEgdyYRjgJKSOiOtcS,0.963,0.139,129.992,0.0981,0.0295,0.0,4,0.581,11,204160,-4.087,0.788,1
1fh2TfUOtOoXEE8qQynYEC,0.712,0.119,122.014,0.0381,0.0649,0.0,4,0.663,1,257280,-4.945,0.48,0
27jdUE1EYDSXZqhjuNxLem,0.483,0.106,93.458,0.0403,0.0262,0.616,4,0.738,6,285014,-8.915,0.355,0
1HOlb9rdNOmy9b1Fakicjo,0.915,0.0818,127.955,0.248,0.0135,8.77e-06,4,0.789,0,183750,-3.263,0.66,1
3gbBpTdY8lnQwqxNCcf795,0.715,0.271,127.435,0.0407,0.0755,0.0,4,0.679,9,214148,-6.383,0.571,1
4RXpgGM7A4Hg7cFBoH5KyF,0.78,0.0828,125.014,0.0436,0.0309,4.64e-05,4,0.545,7,255093,-4.867,0.458,0
0BBj0SW3vef8UNzTg4lwH9,0.813,0.129,137.976,0.0679,0.132,0.0,4,0.697,11,207133,-3.399,0.811,0
6Vc5wAMmXdKIAM7WUoEb7N,0.147,0.0913,141.284,0.0355,0.857,2.89e-06,3,0.407,2,229400,-8.822,0.0765,1
3G6hD9B2ZHOsgf4WfNu7X1,0.578,0.305,99.961,0.0929,0.167,0.0,4,0.69,6,193059,-7.436,0.416,1
6NPVjNh8Jhru9xOmyQigds,0.757,0.0886,159.911,0.153,0.286,0.0,4,0.652,1,233305,-6.819,0.962,1
6GmUVqe73u5YRfUUynZK6I,0.545,0.0963,74.897,0.0688,0.365,0.0,4,0.479,7,252733,-7.346,0.244,1
