id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
46aicChOlpCGTfTkqugprT,0.623,0.0955,129.03,0.0641,0.0962,0.0,4,0.738,8,286653,-7.221,0.351,1
0HFx7PLqzGxSfN59j3UHmR,0.68,0.109,114.025,0.0629,0.00906,0.0,4,0.775,0,207719,-5.508,0.656,0
6ydpPcCGhQ4Ox3H0ly0WcX,0.408,0.11,94.947,0.0388,0.679,3.92e-05,4,0.733,7,197854,-7.834,0.291,0
2RcanAJpudPNDkyIe9DzKS,0.395,0.0761,78.516,0.1,0.724,0.569,4,0.638,4,344347,-11.299,0.316,0
6KIwMyAbOoYMXl47BzxcUm,0.648,0.272,137.882,0.232,0.15,0.0,4,0.694,11,242960,-6.613,0.502,0
7fx8lcYH7GUdY3TBjmWiox,0.509,0.187,136.201,0.294,0.156,0.0,4,0.483,11,193827,-9.599,0.218,0
1Uhn6IapMZmaPigrV2DlUL,0.715,0.0684,111.962,0.0418,0.0276,9.93e-06,4,0.66,6,226766,-5.936,0.251,1
1A7QIlETJSCFXzyp3cSbak,0.705,0.126,136.024,0.126,0.0128,0.0,4,0.747,9,213520,-5.137,0.56,0
7seTcUFOhn5caSDbiSfsp0,0.572,0.585,139.982,0.0326,0.0262,0.0,4,0.706,8,214726,-5.799,0.574,0
75rDNLl8v6qVYHXGzfHv4c,0.638,0.103,128.804,0.244,0.746,0.0,4,0.663,1,240027,-4.505,0.517,1
40haq0tCJnn3RBW4kG6xid,0.464,0.0895,113.003,0.168,0.252,0.0,4,0.872,4,251989,-8.103,0.458,1
2PIvq1pGrUjY007X5y1UpM,0.382,0.0972,119.875,0.0304,0.391,0.0,3,0.66,2,252227,-5.919,0.436,0
56l2kgLlc4BB4IQKc0DByY,0.286,0.135,122.983,0.0295,0.564,0.209,3,0.686,9,308307,-9.603,0.283,0
7ioiB40H9xKs04QtIso2I3,0.52,0.0656,104.99,0.0376,0.000792,1.25e-05,4,0.83,0,189907,-8.714,0.735,1
5rX9fqEGsHnQeEEsc1Cc3J,0.53,0.236,97.007,0.0415,0.493,7.07e-05,4,0.807,7,220645,-4.236,0.429,0
0e2ID8ZA97qEPR0codEji9,0.84,0.522,120.048,0.0689,0.259,0.0,4,0.697,11,259007,-3.422,0.798,0
5t54WbqXtMwT5yF1nQSuKz,0.551,0.101,99.964,0.031,0.0125,0.229,4,0.688,10,202533,-5.496,0.264,0
6MOqNnQ7wBjKc0A9VwMHIt,0.578,0.107,187.935,0.239,0.0415,1.09e-05,4,0.658,8,210036,-6.31,0.734,0
1jQNuXoP9ppDtPbPqGibRA,0.719,0.0947,99.948,0.0347,0.00649,0.00115,4,0.753,1,202933,-5.125,0.579,0
3U4isOIWM3VvDubwSI3y7a,0.264,0.132,119.93,0.0322,0.922,0.0,4,0.422,8,269560,-7.064,0.331,1
34cfSgVKIPgX5j4LNqLG5q,0.538,0.152,132.088,0.165,0.293,9.96e-06,4,0.654,7,194000,-8.142,0.728,0
387d34iruAkp5VeT07TmJZ,0.665,0.366,92.01,0.199,0.00997,1.27e-06,4,0.413,6,277584,-5.329,0.237,1
7EcMaRZ5PeKgsF1PhpXUZf,0.87,0.493,139.841,0.0901,0.0151,0.00184,4,0.519,7,224739,-2.599,0.53,0
41Fflg7qHiVOD6dEPvsCzO,0.765,0.118,99.987,0.0882,0.063,7.04e-06,4,0.884,8,224573,-3.865,0.594,1
4RZMYKoQiDH27kh6UoIrI2,0.386,0.264,201.753,0.0893,0.0183,0.0,4,0.478,4,192653,-7.999,0.268,0
3U1TuSqHIubBA10cVP7Sk6,0.638,0.125,121.868,0.0505,0.137,0.0,3,0.632,7,202667,-6.731,0.574,1
36q3z7dDGe54AaTl3tdyp3,0.672,0.232,97.458,0.0423,0.07,0.0,4,0.73,10,226581,-5.678,0.72,0
4tMx1Own1neH4rG87LwZy9,0.637,0.109,143.932,0.0487,0.0479,2.21e-06,4,0.678,6,252667,-7.33,0.274,1
2stPxcgjdSImK7Gizl8ZUN,0.769,0.214,81.853,0.065,0.0331,0.0,4,0.308,11,254880,-7.256,0.488,0
7zLUZyE6sNuU5pMRieg3at,0.327,0.0845,94.527,0.0817,0.0537,0.0,4,0.75,1,241069,-10.723,0.216,0
1JmPASoql4lnXimD5ICqRP,0.729,0.383,86.032,0.0626,0.271,0.0,4,0.594,2,266294,-5.774,0.459,1
5wUUWVRvrciJqFitZF8R0P,0.541,0.102,119.499,0.0426,0.0102,0.0,4,0.643,2,311197,-5.801,0.165,1
3trS6e40JCVUOpPVt5OdHj,0.576,0.187,179.063,0.175,0.0543,4.07e-05,4,0.625,11,193147,-5.693,0.235,0
5Xe4fAuhqxQRSjTWNZLSqJ,0.455,0.142,82.717,0.0339,0.201,0.15,4,0.473,9,268973,-8.774,0.33,1
6qCklB4TuA68V3MPD4UFjv,0.683,0.142,116.991,0.0489,0.00563,0.0,4,0.807,5,227027,-5.912,0.801,0
2s7CLcyzct8XZX7DMd525z,0.631,0.123,126.848,0.0711,0.017,0.0,4,0.407,6,245867,-6.899,0.43,1
1Xsxp1SEOxuMzjrFZhtw8u,0.81,0.11,94.995,0.0378,0.0923,4.74e-05,4,0.674,7,196867,-5.117,0.391,0
2NEFFtD3i1rEiRxOrXqb8o,0.781,0.0661,106.077,0.312,0.0211,9.39e-05,4,0.703,1,231739,-4.485,0.485,0
6ufMt4gj8JCkFVXc16cAt2,0.871,0.293,120.873,0.191,0.0131,0.0,4,0.589,11,197355,-4.433,0.541,0
5zADFMwzqhUjWNKSHWO8gD,0.279,0.153,66.044,0.0392,0.87,0.0,4,0.47,7,210600,-8.499,0.144,1
3nw9J97nUugT84SIJdjhAV,0.638,0.0969,141.994,0.0405,0.0649,0.0,4,0.709,1,244133,-4.3,0.468,1
1lEPbd3Pf73s28zoem3IxX,0.667,0.0845,92.887,0.044,0.434,0.0,4,0.635,2,284684,-6.139,0.0837,1
5gc3tm8DSeibg84p0CebCZ,0.79,0.0898,120.0,0.136,0.00395,0.000201,4,0.837,1,252000,-4.229,0.675,1
3cRZ5kGCkR3w81phqkQEQA,0.499,0.145,131.578,0.291,0.629,0.0,4,0.479,0,245000,-7.737,0.313,1
6MCTFiVEptpgYjh4DdW3ck,0.17,0.0928,146.954,0.0324,0.921,2.88e-06,3,0.45,1,205704,-12.735,0.0904,1
57rdgySxXsi2mKGC2cAuIU,0.441,0.0934,105.971,0.0275,0.685,0.00148,4,0.672,1,252173,-10.297,0.473,0
1NsKadeL8hx5PO0e4jvAMg,0.587,0.0512,97.038,0.0918,0.222,0.0,4,0.758,7,254027,-7.147,0.726,0
231O3DltLcwtgIKoNbMkrt,0.287,0.0969,187.796,0.0829,0.915,0.0,4,0.578,4,213173,-13.642,0.735,0
1QUqzpmPpJspiDzGp5jw52,0.675,0.056,165.009,0.0841,0.0381,0.0,4,0.713,1,212369,-4.909,0.609,0
7wA4XiTQOWByeF6DGWoxkt,0.667,0.138,78.019,0.0346,0.0958,0.0,4,0.55,2,238653,-5.362,0.433,1
2XK0gPB8oQImEWZDP7ydSs,0.681,0.126,135.077,0.356,0.039,0.0,4,0.575,5,272027,-9.066,0.41,0
2L5E8nSrdHK1gjcnro9uC5,0.736,0.0911,175.183,0.134,0.0279,0.0,4,0.431,6,284307,-5.635,0.335,0
1w0PTcVoNhDKjHLjVEnyOG,0.66,0.109,80.982,0.0315,0.322,0.000263,4,0.605,10,239587,-5.847,0.889,1
1ins6WnuUxsmmFFg6uOYi9,0.712,0.47,134.776,0.0517,0.339,1.16e-05,3,0.382,11,370243,-4.598,0.412,0
5FahqUmF2xPV5e0mUEAlxK,0.546,0.111,142.081,0.0712,0.144,0.0,4,0.75,6,312230,-6.43,0.365,1
0UdRGHCSRvn85nN0IfHFmq,0.679,0.0898,107.961,0.0517,0.0473,0.0,4,0.654,8,240307,-5.46,0.592,1
79841Q43DJZuMZ8g3iosTq,0.531,0.17,95.05,0.0351,0.0195,0.0,4,0.68,10,212712,-8.824,0.398,0
5p50Y4YcBSjQYd481iVrzv,0.921,0.487,87.188,0.202,0.0257,3.21e-06,4,0.611,10,209293,-5.097,0.493,0
2oB4IBodnkYqPb8gtflWLA,0.636,0.0832,125.967,0.0346,0.0844,0.0,4,0.734,7,230293,-4.608,0.339,1
3Vo7i7cUEKBdCu4g0Refkh,0.575,0.0628,97.996,0.102,0.0869,0.0,4,0.853,1,198339,-6.269,0.538,0
2hjFqlQiYpoAvbggL5Ze3R,0.597,0.0853,77.032,0.03,0.0331,1.33e-06,4,0.615,5,193547,-6.342,0.825,1
5RlciRfZzBAlwZ1dyB93yF,0.454,0.0832,160.035,0.0794,0.0504,0.0338,4,0.673,1,251640,-6.799,0.523,1
6MhGq8IlmVQXpl6YYKZqYN,0.819,0.761,115.982,0.029,0.147,0.0,4,0.729,9,209453,-4.162,0.946,1
2nO3FiuI4b6G06DlhgKtJf,0.658,0.358,97.942,0.106,0.183,0.0,4,0.675,1,181224,-4.892,0.485,0
01bZIp0vgbIsJj3Dm3FY5F,0.715,0.238,121.931,0.0432,0.0768,0.0,4,0.417,7,246718,-4.243,0.456,0
3kSP9fBAKJdVvbFs8RwGuu,0.793,0.292,116.96,0.0634,0.21,0.000619,4,0.574,0,271653,-5.966,0.178,1
588wOkZ39hkJc5K19WJ1hS,0.73,0.12,97.149,0.0938,0.22,0.0,4,0.76,3,264153,-4.629,0.741,0
1xJFyWWr1ahej2b3SaQMta,0.71,0.108,151.783,0.229,0.0577,1.03e-06,4,0.511,5,207464,-6.631,0.572,0
