id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
1hKdDCpiI9mqz1jVHRKG0E,0.824,0.059,123.331,0.03,0.00206,0.00903,4,0.579,6,331573,-8.71,0.635,0
60a0Rd6pjrkxjPbaKzXjfq,0.864,0.209,105.143,0.0584,0.00958,0.0,4,0.556,3,216880,-5.87,0.4,0
6NaBDHz9C7Uz9Z9CwLXQin,0.754,0.103,169.373,0.0732,0.0195,1.3e-06,4,0.299,5,221053,-4.078,0.295,0
49h0RYK3yzWkfbVyNJjJ01,0.574,0.12,84.984,0.0372,0.35,9.96e-05,4,0.535,2,273424,-6.865,0.445,0
7ueP5u2qkdZbIPN2YA6LR0,0.436,0.0964,119.051,0.0558,0.441,0.615,4,0.826,1,259093,-9.583,0.272,1
77NNZQSqzLNqh2A9JhLRkg,0.802,0.387,119.25,0.0392,0.25,0.0,4,0.491,4,248907,-7.106,0.472,1
5ghIJDpPoe3CfHMGu71E6T,0.912,0.106,116.761,0.0564,2.55e-05,0.000173,4,0.502,1,301920,-4.556,0.72,1
1IBk5PttmnPcGnysEwtiXi,0.756,0.268,120.574,0.0443,0.00296,0.00166,4,0.433,6,356960,-8.763,0.415,1
4lYemy3VZzRUrFALAu1jFG,0.471,0.118,121.04,0.0303,0.174,0.0,4,0.655,8,221200,-8.528,0.346,0
0ntQJM78wzOLVeCUAW7Y45,0.905,0.136,153.398,0.054,0.00172,0.0104,4,0.542,9,203347,-5.653,0.374,1
20B9NtA8clQJuTebpZWZvC,0.888,0.194,174.567,0.0331,0.000759,0.0,4,0.411,6,259960,-4.337,0.688,0
34KTEhpPjq6IAgQg2yzJAL,0.767,0.127,96.483,0.027,0.0021,0.00165,4,0.592,9,329733,-2.788,0.328,0
0c4IEciLCDdXEhhKxj4ThA,0.417,0.106,180.301,0.0718,0.127,0.00419,4,0.502,10,281040,-7.665,0.218,1
3ctoHckjyd13eBi2IDw2Ip,0.462,0.307,123.865,0.0779,0.00576,0.545,4,0.75,0,231800,-7.664,0.309,1
2nLtzopw4rPReszdYBJU6h,0.863,0.639,110.018,0.0381,0.0046,0.0,4,0.496,9,185587,-4.153,0.243,1
2KH16WveTQWT6KOG9Rg6e2,0.599,0.0873,108.873,0.0328,0.132,0.000311,4,0.817,0,245640,-9.249,0.548,0
3dOAXUx7I1qnzWzxdnsyB8,0.872,0.0997,166.3,0.068,0.00417,0.00975,4,0.356,2,193653,-7.837,0.607,1
07q6QTQXyPRCf7GbLakRPr,0.867,0.0883,157.902,0.0387,5.69e-05,0.000192,4,0.415,11,249987,-5.497,0.36,0
1u1DBObkLFscNCpRpXbYb9,0.941,0.108,125.138,0.0489,0.138,0.123,4,0.45,6,355267,-4.725,0.662,1
1FMm3wG5WOhi7js35KR7Ea,0.918,0.206,126.083,0.0682,0.00466,0.0,4,0.55,9,177827,-3.159,0.563,0
30uJNlHIjfDeE4vr8g9fpf,0.638,0.116,130.014,0.0336,0.249,0.0,4,0.728,5,193030,-6.455,0.872,0
0S0d7Qad5v7ZLQiAuwQxab,0.877,0.158,99.027,0.0279,0.00394,1.49e-05,4,0.544,11,233933,-4.923,0.533,0
4P5KoWXOxwuobLmHXLMobV,0.824,0.0916,120.125,0.0388,0.00016,0.00161,4,0.5,4,218920,-5.846,0.539,0
15rjQH7nTcTomKwfVMd4xl,0.812,0.102,135.68,0.0315,0.0219,0.00106,4,0.597,5,218400,-12.062,0.823,1
2gpffYGJGvhgqgA0Aw8wKi,0.941,0.249,189.961,0.0975,0.00691,1.35e-06,4,0.328,4,235893,-3.185,0.257,0
7qQnBfwXrw2tZNFG4Uf57N,0.887,0.186,122.528,0.0349,0.0665,0.000179,4,0.52,0,250627,-3.296,0.793,1
7GkM8M2EC8OJblOxQxAR7t,0.565,0.349,132.302,0.0385,0.175,0.0693,4,0.628,0,139160,-9.98,0.582,1
7tFiyTwD0nx5a1eklYtX2J,0.402,0.243,143.883,0.0536,0.288,0.0,4,0.392,0,354320,-9.961,0.228,0
7r45JFRfUkMjj5PHdAmRYk,0.628,0.0907,97.903,0.0257,0.247,0.000194,4,0.612,7,283733,-10.385,0.927,1
0gmbgwZ8iqyMPmXefof8Yf,0.764,0.099,172.094,0.033,0.00135,0.0,4,0.446,10,223840,-5.042,0.543,1
225xvV8r1yKMHErSWivnow,0.662,0.248,121.154,0.0333,0.165,0.0,4,0.383,2,298760,-5.162,0.138,1
0t7ttzoe3dV0mah4lBI2kx,0.632,0.121,118.649,0.031,0.484,0.0316,4,0.631,1,270853,-8.227,0.492,0
